City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Wewak,PG,80.51,moderate rain,-3.5534,143.6268,In Wewak Boutique Hotel
11,Hambantota,LK,77.05,overcast clouds,6.1241,81.1185,Bungalow 63
18,Saint-Philippe,RE,75.2,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
19,Soyo,AO,80.11,overcast clouds,-6.1349,12.3689,Hotel Mpampa
20,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
29,Rikitea,PF,79.72,clear sky,-23.1203,-134.9692,Pension Maro'i
31,Del Rio,US,93.2,clear sky,29.3627,-100.8968,Holiday Inn Express & Suites del Rio
34,Cap Malheureux,MU,77.0,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
37,Butaritari,KI,81.19,light rain,3.0707,172.7902,Isles Sunset Lodge
39,Ambulu,ID,78.06,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
40,Macapa,BR,84.2,clear sky,0.0389,-51.0664,Atalanta Hotel
42,Kapaa,US,77.0,clear sky,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
47,Russell,US,84.2,few clouds,32.3502,-85.1999,Macs
48,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
49,Cayenne,GF,80.01,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
57,Avarua,CK,86.0,broken clouds,-21.2078,-159.775,Paradise Inn
65,Port Blair,IN,80.82,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
69,Guarapari,BR,78.8,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
72,Cravo Norte,CO,81.57,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
73,Trat,TH,82.0,heavy intensity rain,12.5,102.5,สวนหนิง-อัศ
76,Indramayu,ID,77.47,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
78,Atuona,PF,81.05,light rain,-9.8,-139.0333,Villa Enata
79,Hilo,US,75.2,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
81,Kalmunai,LK,77.95,overcast clouds,7.4167,81.8167,VS Villa
84,Taoudenni,ML,78.4,clear sky,22.6783,-3.9836,
86,Kimbe,PG,87.01,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
90,Tra Vinh,VN,80.96,scattered clouds,9.9347,106.3453,Hồng Ân
97,Olinda,BR,78.8,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
99,Karratha,AU,84.02,light rain,-20.7377,116.8463,ibis Styles Karratha
101,Valle Hermoso,MX,82.4,broken clouds,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
103,Maceio,BR,75.2,broken clouds,-9.6658,-35.7353,Poutur Pousada
106,Ixtapa,MX,75.2,broken clouds,20.7,-105.2,Hotel Plaza Providencia
107,Natitingou,BJ,80.35,few clouds,10.3042,1.3796,Auberge Centrale
113,Cabo San Lucas,MX,77.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
114,Alice Springs,AU,75.2,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
115,Lorengau,PG,82.53,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
116,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
122,Cartersville,US,80.6,overcast clouds,34.1651,-84.7999,Hilton Garden Inn Cartersville
127,Laguna,US,75.99,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
134,Bengkulu,ID,75.16,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
135,Hirara,JP,75.2,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
144,Puerto Ayora,EC,80.01,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
149,Bima,ID,80.76,light rain,-8.4667,118.7167,Lambitu Hotel
152,Thinadhoo,MV,82.17,overcast clouds,0.5333,72.9333,
153,Longhua,CN,75.61,clear sky,23.6137,114.1919,Huadu Hotel
156,Dicabisagan,PH,80.82,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
159,Nova Londrina,BR,76.77,broken clouds,-22.7658,-52.985,HOTEL FELICE
160,Quatre Cocos,MU,77.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
161,Abonnema,NG,80.6,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
166,Malakal,SS,84.07,scattered clouds,9.5334,31.6605,Nile Palace Hotel
168,Tual,ID,80.89,moderate rain,-5.6667,132.75,Grand Vilia Hotel
