City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,-13.5,86,99,5.99,overcast clouds
1,Hobart,AU,-42.8794,147.3294,61.0,63,40,14.97,scattered clouds
2,Ranghulu,CN,46.65,124.8667,49.17,65,1,16.73,clear sky
3,Tura,IN,25.5198,90.2201,69.76,15,0,2.57,clear sky
4,Wewak,PG,-3.5534,143.6268,80.51,84,100,4.23,moderate rain
5,Tuatapere,NZ,-46.1333,167.6833,60.01,88,100,5.01,moderate rain
6,Busselton,AU,-33.65,115.3333,63.19,71,0,7.36,clear sky
7,Jambi,ID,-1.6,103.6167,73.85,96,89,2.21,overcast clouds
8,Dongsheng,CN,39.8161,109.9776,32.16,38,50,14.58,scattered clouds
9,Ponta Do Sol,PT,32.6667,-17.1,64.4,94,75,16.11,broken clouds
10,Kodiak,US,57.79,-152.4072,35.6,38,1,28.77,clear sky
11,Hambantota,LK,6.1241,81.1185,77.05,78,85,4.21,overcast clouds
12,Ancud,CL,-41.8697,-73.8203,55.4,76,0,4.61,clear sky
13,Gandiaye,SN,14.2333,-16.2667,71.6,68,3,11.5,clear sky
14,Camacha,PT,33.0833,-16.3333,64.4,88,40,19.57,scattered clouds
15,Bluff,NZ,-46.6,168.3333,60.01,88,100,5.01,overcast clouds
16,Porto Santo,PT,33.072,-16.3415,64.4,88,40,19.57,scattered clouds
17,Kokstad,ZA,-30.5472,29.4241,50.77,97,98,3.91,overcast clouds
18,Saint-Philippe,RE,-21.3585,55.7679,75.2,83,0,5.75,light rain
19,Soyo,AO,-6.1349,12.3689,80.11,82,86,9.01,overcast clouds
20,Vaini,TO,-21.2,-175.2,86.0,74,75,6.91,broken clouds
21,Albany,US,42.6001,-73.9662,54.0,56,79,1.9,broken clouds
22,Punta Arenas,CL,-53.15,-70.9167,50.0,62,20,43.73,light rain
23,San Quintin,MX,30.4833,-115.95,66.09,41,0,11.43,clear sky
24,Port Lincoln,AU,-34.7333,135.8667,64.13,62,18,2.75,few clouds
25,Jamestown,US,42.097,-79.2353,60.8,44,1,4.5,clear sky
26,Churapcha,RU,62.0025,132.4325,22.95,92,99,9.1,overcast clouds
27,Port Alfred,ZA,-33.5906,26.891,62.47,76,50,7.9,scattered clouds
28,Kemin,KG,42.7846,75.6892,44.67,94,100,2.24,moderate rain
29,Rikitea,PF,-23.1203,-134.9692,79.72,69,1,17.27,clear sky
30,Tasiilaq,GL,65.6145,-37.6368,21.2,45,90,24.16,light snow
31,Del Rio,US,29.3627,-100.8968,93.2,10,1,6.91,clear sky
32,Nikolskoye,RU,59.7035,30.7861,39.99,70,0,6.71,clear sky
33,Krasnoselkup,RU,65.7,82.4667,5.77,96,92,7.11,overcast clouds
34,Cap Malheureux,MU,-19.9842,57.6142,77.0,82,79,1.99,broken clouds
35,Tiksi,RU,71.6872,128.8694,7.83,94,100,3.2,overcast clouds
36,Te Anau,NZ,-45.4167,167.7167,59.18,94,100,1.57,overcast clouds
37,Butaritari,KI,3.0707,172.7902,81.19,79,92,13.06,light rain
38,Pevek,RU,69.7008,170.3133,-6.57,89,57,6.82,broken clouds
39,Ambulu,ID,-8.345,113.6058,78.06,84,66,2.48,broken clouds
40,Macapa,BR,0.0389,-51.0664,84.2,84,0,6.91,clear sky
41,Gediz,TR,39.0417,29.41,35.55,74,7,3.78,clear sky
42,Kapaa,US,22.0752,-159.319,77.0,73,1,13.8,clear sky
43,Upernavik,GL,72.7868,-56.1549,-30.24,93,15,5.37,few clouds
44,Cape Town,ZA,-33.9258,18.4232,63.0,63,0,5.75,clear sky
45,Khatanga,RU,71.9667,102.5,0.59,96,98,8.25,overcast clouds
46,Rio Grande,BR,-32.035,-52.0986,71.01,95,100,6.71,light rain
47,Russell,US,32.3502,-85.1999,84.2,51,20,8.05,few clouds
48,Georgetown,MY,5.4112,100.3354,80.6,94,20,4.65,few clouds
49,Cayenne,GF,4.9333,-52.3333,80.01,94,75,3.44,broken clouds
50,Ushuaia,AR,-54.8,-68.3,55.4,54,40,17.27,light rain
51,Aksu,CN,41.1231,80.2644,53.01,46,85,3.27,overcast clouds
52,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,77,40,6.91,scattered clouds
53,Castro,BR,-24.7911,-50.0119,66.54,88,92,3.42,heavy intensity rain
54,Cidreira,BR,-30.1811,-50.2056,72.99,88,100,6.85,overcast clouds
55,Palmer,US,42.1584,-72.3287,57.2,44,75,6.91,broken clouds
56,Thompson,CA,55.7435,-97.8558,23.0,50,75,11.5,broken clouds
57,Avarua,CK,-21.2078,-159.775,86.0,74,75,21.85,broken clouds
58,Yellowknife,CA,62.456,-114.3525,26.6,46,75,10.36,broken clouds
59,Chiredzi,ZW,-21.05,31.6667,67.32,54,0,3.24,clear sky
60,Ostrovnoy,RU,68.0531,39.5131,32.11,89,95,23.51,overcast clouds
61,Shingu,JP,33.7333,135.9833,64.4,72,75,18.41,broken clouds
62,Rapid Valley,US,44.0625,-103.1463,45.0,49,75,17.27,broken clouds
63,Vardo,NO,70.3705,31.1107,36.75,96,100,19.33,overcast clouds
64,Mahebourg,MU,-20.4081,57.7,73.4,94,75,5.75,broken clouds
65,Port Blair,IN,11.6667,92.75,80.82,79,98,2.24,overcast clouds
66,Longyearbyen,SJ,78.2186,15.6401,28.4,74,75,35.68,snow
67,Mataura,NZ,-46.1927,168.8643,60.01,88,99,5.01,overcast clouds
68,Norman Wells,CA,65.282,-126.8329,12.2,73,75,14.97,light snow
69,Guarapari,BR,-20.6667,-40.4975,78.8,83,0,6.91,clear sky
70,Kungurtug,RU,50.5994,97.5228,9.64,82,32,2.48,scattered clouds
71,Clyde River,CA,70.4692,-68.5914,-4.0,77,75,3.44,broken clouds
72,Cravo Norte,CO,6.3017,-70.2041,81.57,59,99,7.11,overcast clouds
73,Trat,TH,12.5,102.5,82.0,99,96,1.16,heavy intensity rain
74,Jiuquan,CN,39.7432,98.5174,47.59,38,100,2.89,overcast clouds
75,Yumen,CN,40.2833,97.2,46.35,27,100,5.28,overcast clouds
76,Indramayu,ID,-6.3264,108.32,77.47,87,100,4.54,overcast clouds
77,Airai,TL,-8.9266,125.4092,65.98,82,100,2.62,overcast clouds
78,Atuona,PF,-9.8,-139.0333,81.05,76,74,20.42,light rain
79,Hilo,US,19.7297,-155.09,75.2,78,90,6.91,moderate rain
80,Tianpeng,CN,30.9866,103.9393,59.0,1,0,2.46,clear sky
81,Kalmunai,LK,7.4167,81.8167,77.95,80,87,2.24,overcast clouds
82,Plyussa,RU,58.4308,29.3654,38.23,86,75,8.32,broken clouds
83,Ravar,IR,31.2656,56.8055,74.14,17,18,22.57,few clouds
84,Taoudenni,ML,22.6783,-3.9836,78.4,9,6,12.15,clear sky
85,Belaya Gora,RU,68.5333,146.4167,2.57,89,81,4.12,broken clouds
86,Kimbe,PG,-5.5502,150.1429,87.01,63,100,1.41,overcast clouds
87,Coquimbo,CL,-29.9533,-71.3436,59.0,88,75,9.22,broken clouds
88,Nanortalik,GL,60.1432,-45.2371,15.94,59,100,12.33,overcast clouds
89,Naryan-Mar,RU,67.6713,53.087,19.96,90,70,10.02,broken clouds
90,Tra Vinh,VN,9.9347,106.3453,80.96,72,26,9.75,scattered clouds
91,Bredasdorp,ZA,-34.5322,20.0403,51.8,87,28,4.61,scattered clouds
92,Vostok,RU,46.4856,135.8833,37.94,96,85,3.49,overcast clouds
93,Carutapera,BR,-1.195,-46.02,74.68,92,77,6.91,broken clouds
94,Porto Walter,BR,-8.2686,-72.7439,73.9,97,94,1.03,overcast clouds
95,Faya,SA,18.3851,42.4509,60.8,54,0,2.71,clear sky
96,Hermanus,ZA,-34.4187,19.2345,55.99,83,5,1.01,clear sky
97,Olinda,BR,-8.0089,-34.8553,78.8,78,75,5.75,light rain
98,Husavik,IS,66.0449,-17.3389,19.4,86,90,13.8,snow
99,Karratha,AU,-20.7377,116.8463,84.02,60,96,7.56,light rain
100,Saskylakh,RU,71.9167,114.0833,-9.65,99,99,0.4,overcast clouds
101,Valle Hermoso,MX,25.6667,-97.8333,82.4,74,75,18.41,broken clouds
102,Cherskiy,RU,68.75,161.3,0.57,80,32,5.61,scattered clouds
103,Maceio,BR,-9.6658,-35.7353,75.2,94,75,3.44,broken clouds
104,Mar Del Plata,AR,-38.0023,-57.5575,61.0,94,90,23.02,light intensity drizzle
105,Ginda,IN,30.6945,78.4932,53.22,26,1,7.23,clear sky
106,Ixtapa,MX,20.7,-105.2,75.2,60,75,12.66,broken clouds
107,Natitingou,BJ,10.3042,1.3796,80.35,15,11,3.85,few clouds
108,Carnarvon,AU,-24.8667,113.6333,71.6,88,0,2.01,clear sky
109,New Norfolk,AU,-42.7826,147.0587,59.0,91,100,5.68,overcast clouds
110,Suoyarvi,RU,62.0833,32.35,33.55,95,94,5.97,overcast clouds
111,Vila,PT,42.0304,-8.1588,46.99,74,0,1.99,clear sky
112,Kedrovyy,RU,56.1667,91.8167,26.6,74,0,3.38,light snow
113,Cabo San Lucas,MX,22.8909,-109.9124,77.0,49,20,11.5,few clouds
114,Alice Springs,AU,-23.7,133.8833,75.2,53,48,13.8,scattered clouds
115,Lorengau,PG,-2.0226,147.2712,82.53,80,94,8.99,overcast clouds
116,Bathsheba,BB,13.2167,-59.5167,77.0,65,40,18.41,scattered clouds
117,Yueyang,CN,29.3333,113.0919,59.07,83,0,5.95,clear sky
118,Ribeira Grande,PT,38.5167,-28.7,60.21,83,93,8.95,overcast clouds
119,Mitchell,US,43.7094,-98.0298,39.2,81,90,27.63,overcast clouds
120,Barrow,US,71.2906,-156.7887,-11.2,77,1,5.75,clear sky
121,Codrington,AU,-38.2667,141.9667,63.59,61,57,9.4,broken clouds
122,Cartersville,US,34.1651,-84.7999,80.6,50,90,5.75,overcast clouds
123,Saldanha,ZA,-33.0117,17.9442,55.4,76,1,3.44,clear sky
124,Santiago Del Estero,AR,-27.7951,-64.2615,64.13,47,0,4.23,clear sky
125,Sidvokodvo,SZ,-26.6282,31.4202,63.75,93,31,3.8,scattered clouds
126,Beringovskiy,RU,63.05,179.3167,5.36,87,100,8.57,overcast clouds
127,Laguna,US,38.421,-121.4238,75.99,25,1,3.44,clear sky
128,Leningradskiy,RU,69.3833,178.4167,-3.57,86,47,8.48,scattered clouds
129,Olafsvik,IS,64.8945,-23.7142,27.86,87,100,37.67,snow
130,Lebu,CL,-37.6167,-73.65,56.35,87,12,18.95,few clouds
131,Rocha,UY,-34.4833,-54.3333,66.06,91,100,4.76,overcast clouds
132,Komsomolskiy,UZ,40.4272,71.7189,53.6,87,75,2.3,light rain
133,Nokaneng,BW,-19.6667,22.2667,70.14,70,18,4.07,few clouds
134,Bengkulu,ID,-3.8004,102.2655,75.16,85,100,5.48,overcast clouds
135,Hirara,JP,24.8,125.2833,75.2,94,75,16.11,broken clouds
136,Ullapool,GB,57.8987,-5.1604,48.0,60,99,15.99,overcast clouds
137,Okhotsk,RU,59.3833,143.3,9.14,82,98,4.56,overcast clouds
138,Gaur,NP,26.7667,85.2667,68.74,16,0,4.9,clear sky
139,Roros,NO,62.5747,11.3842,19.4,86,33,1.14,scattered clouds
140,Magnitka,RU,55.3475,59.6961,24.66,83,94,9.13,overcast clouds
141,Hlukhiv,UA,51.6782,33.9162,35.29,85,96,5.12,overcast clouds
142,Fortuna,US,40.5982,-124.1573,62.01,82,1,16.11,clear sky
143,Woodburn,US,45.1437,-122.8554,63.0,48,1,1.14,clear sky
144,Puerto Ayora,EC,-0.7393,-90.3518,80.01,89,16,4.0,few clouds
145,Bethel,US,41.3712,-73.414,62.6,39,1,3.09,clear sky
146,Luderitz,NA,-26.6481,15.1594,63.43,72,0,11.99,clear sky
147,Beidao,CN,34.5686,105.8933,50.0,28,0,1.01,clear sky
148,Talnakh,RU,69.4865,88.3972,-3.59,99,73,1.52,broken clouds
149,Bima,ID,-8.4667,118.7167,80.76,84,76,3.83,light rain
150,Altus,US,34.6381,-99.334,71.6,28,1,20.71,clear sky
151,Yerbogachen,RU,61.2767,108.0108,15.89,95,100,5.95,overcast clouds
152,Thinadhoo,MV,0.5333,72.9333,82.17,76,100,12.55,overcast clouds
153,Longhua,CN,23.6137,114.1919,75.61,76,4,1.34,clear sky
154,Tinskoy,RU,56.1525,96.9161,26.08,87,100,3.06,overcast clouds
155,Guerrero Negro,MX,27.9769,-114.0611,68.27,41,0,14.99,clear sky
156,Dicabisagan,PH,17.0818,122.4157,80.82,76,42,4.5,scattered clouds
157,Shuangcheng,CN,45.35,126.2833,41.0,93,11,6.71,mist
158,Havelock,US,34.8791,-76.9013,68.0,94,75,3.44,mist
159,Nova Londrina,BR,-22.7658,-52.985,76.77,67,69,7.18,broken clouds
160,Quatre Cocos,MU,-20.2078,57.7625,77.0,94,75,5.75,broken clouds
161,Abonnema,NG,4.7084,6.7931,80.6,83,20,3.44,few clouds
162,Kingisepp,RU,59.3733,28.6134,36.73,90,32,8.52,scattered clouds
163,Tongliao,CN,43.6125,122.2653,53.4,26,37,15.75,scattered clouds
164,Pisco,PE,-13.7,-76.2167,70.0,73,0,18.41,clear sky
165,Windsor,CA,42.3001,-83.0165,57.0,76,75,8.05,broken clouds
166,Malakal,SS,9.5334,31.6605,84.07,24,33,4.23,scattered clouds
167,Safaga,EG,26.7292,33.9365,60.8,41,0,16.11,clear sky
168,Tual,ID,-5.6667,132.75,80.89,82,100,14.45,moderate rain
169,Lensk,RU,60.7253,114.9278,18.61,87,98,5.21,overcast clouds
170,Kingston,JM,17.997,-76.7936,84.2,58,20,24.16,few clouds
171,Chuy,UY,-33.6971,-53.4616,68.38,89,100,3.36,overcast clouds
172,Doka,SD,13.5167,35.7667,80.74,38,23,10.09,few clouds
173,Lagoa,PT,39.05,-27.9833,59.27,88,25,11.07,scattered clouds
174,Severo-Kurilsk,RU,50.6789,156.125,27.5,83,98,35.63,light snow
175,Tigil,RU,57.8,158.6667,6.89,88,99,8.55,overcast clouds
176,Vao,NC,-22.6667,167.4833,77.99,80,13,13.18,few clouds
177,East London,ZA,-33.0153,27.9116,65.16,72,81,12.12,broken clouds
178,Cacapava Do Sul,BR,-30.5122,-53.4914,63.86,99,100,3.4,overcast clouds
179,Caravelas,BR,-17.7125,-39.2481,75.88,74,18,5.01,few clouds
180,Bilma,NE,18.6853,12.9164,69.48,15,0,18.72,clear sky
181,Ternate,ID,0.8,127.4,79.77,87,100,11.16,heavy intensity rain
182,Basco,PH,20.4487,121.9702,79.86,85,9,17.05,clear sky
183,Alofi,NU,-19.0595,-169.9187,84.2,79,17,14.97,light rain
184,Saint-Ambroise,CA,48.5501,-71.3324,33.8,69,82,12.66,broken clouds
185,North Little Rock,US,34.7695,-92.2671,77.0,65,75,8.05,broken clouds
186,Emirdag,TR,39.0197,31.15,33.98,76,4,0.81,clear sky
187,College,US,64.8569,-147.8028,26.6,59,90,8.05,overcast clouds
188,Srandakan,ID,-7.9386,110.2506,78.64,83,74,2.86,broken clouds
189,Lucapa,AO,-8.4192,20.7447,64.85,95,100,0.72,overcast clouds
190,Mansehra,PK,34.3333,73.2,58.96,62,70,6.46,broken clouds
191,Port Hardy,CA,50.6996,-127.4199,48.2,76,90,13.8,light rain
192,Naliya,IN,23.2667,68.8333,75.16,74,39,9.91,scattered clouds
193,Havoysund,NO,70.9963,24.6622,39.2,81,90,8.05,overcast clouds
194,Kaitangata,NZ,-46.2817,169.8464,64.99,76,100,10.0,overcast clouds
195,Dalbandin,PK,28.8947,64.4101,74.16,33,19,4.54,few clouds
196,Anadyr,RU,64.75,177.4833,1.4,71,0,13.42,clear sky
197,Tabou,CI,4.423,-7.3528,77.0,88,13,2.42,light rain
198,Makakilo City,US,21.3469,-158.0858,84.2,48,40,10.36,scattered clouds
199,Tongzi,CN,28.7829,105.0877,62.13,65,2,1.79,clear sky
200,Kenai,US,60.5544,-151.2583,33.8,34,20,21.85,few clouds
201,Kavieng,PG,-2.5744,150.7967,84.94,70,100,15.9,overcast clouds
202,Barguzin,RU,53.6167,109.6167,19.02,91,61,2.59,broken clouds
203,Hervey Bay,AU,-25.2986,152.8535,78.8,69,1,2.3,clear sky
204,Naze,JP,28.3667,129.4833,71.6,94,75,23.02,broken clouds
205,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.32,86,0,9.15,clear sky
206,Carauari,BR,-4.8828,-66.8958,74.25,94,96,2.77,overcast clouds
207,Wanning,CN,18.8003,110.3967,75.96,87,86,6.78,overcast clouds
208,Muisne,EC,0.6,-80.0333,76.71,83,43,3.36,scattered clouds
209,Kadaya,RU,50.9327,119.2911,32.09,92,99,10.78,snow
210,Beloha,MG,-25.1667,45.05,70.25,84,21,3.36,few clouds
211,Ushtobe,KZ,45.2514,77.9838,48.52,89,100,9.35,overcast clouds
212,Yulara,AU,-25.2406,130.9889,75.2,64,98,9.22,overcast clouds
213,Arlit,NE,18.7369,7.3853,67.51,17,0,8.41,clear sky
214,Narsaq,GL,60.9167,-46.05,10.4,48,75,1.14,broken clouds
215,Hereford,GB,52.0568,-2.7148,48.0,82,100,4.0,light rain
216,Katsuura,JP,35.1333,140.3,64.99,68,75,17.27,broken clouds
217,Belyye Berega,RU,53.2085,34.6641,30.96,97,87,3.91,overcast clouds
218,Constitucion,CL,-35.3333,-72.4167,59.61,70,72,13.62,broken clouds
219,Umea,SE,63.8284,20.2597,36.0,100,90,3.44,mist
220,Klaksvik,FO,62.2266,-6.589,42.8,93,75,26.46,broken clouds
221,Dawei,MM,14.0833,98.2,77.22,86,80,3.04,broken clouds
222,Margate,GB,51.3813,1.3862,46.99,76,100,4.0,overcast clouds
223,Bulawayo,ZW,-20.15,28.5833,63.18,38,16,5.48,few clouds
224,Ueda,JP,36.4,138.2667,57.99,73,99,1.99,light rain
225,Ilulissat,GL,69.2167,-51.1,-14.8,53,3,2.3,clear sky
226,Nouadhibou,MR,20.931,-17.0347,64.4,88,0,14.97,clear sky
227,Tondano,ID,1.3038,124.9112,78.8,94,40,2.3,heavy intensity rain
228,Kannauj,IN,27.0546,79.922,72.75,14,0,0.69,clear sky
229,Bolgatanga,GH,10.7856,-0.8514,86.63,41,44,4.76,scattered clouds
230,Rexburg,US,43.826,-111.7897,53.6,35,1,14.97,clear sky
231,Nome,US,64.5011,-165.4064,6.8,72,1,2.3,clear sky
232,Bull Savanna,JM,17.8868,-77.5902,75.04,80,35,9.89,scattered clouds
233,Victoria,HK,22.2855,114.1577,75.0,86,10,4.29,clear sky
234,Svetlogorsk,BY,52.6333,29.7333,40.14,79,73,5.08,broken clouds
235,Praia Da Vitoria,PT,38.7333,-27.0667,60.01,88,75,4.12,broken clouds
236,Miraflores,MX,19.2167,-98.8083,84.2,13,20,4.61,few clouds
237,Dingle,PH,10.9995,122.6711,80.31,80,96,7.99,overcast clouds
238,Seoul,KR,37.5683,126.9778,48.2,93,90,11.5,mist
239,Sechura,PE,-5.5569,-80.8222,77.81,60,68,17.38,broken clouds
240,Acapulco,MX,16.8634,-99.8901,84.2,61,1,6.91,clear sky
241,Chokurdakh,RU,70.6333,147.9167,1.47,87,100,6.73,overcast clouds
242,Gambela,ET,8.25,34.5833,78.13,51,73,4.14,broken clouds
243,Port Moresby,PG,-9.4431,147.1797,84.2,79,20,3.44,few clouds
244,Vanimo,PG,-2.6741,141.3028,81.39,80,100,5.79,overcast clouds
245,Ampanihy,MG,-24.7,44.75,69.15,93,4,2.17,clear sky
246,Tutoia,BR,-2.7619,-42.2744,76.03,89,99,8.12,overcast clouds
247,Bohicon,BJ,7.1783,2.0667,78.53,77,86,4.81,overcast clouds
248,Atambua,ID,-9.1061,124.8925,77.59,81,100,2.98,overcast clouds
249,Arona,ES,28.0996,-16.681,66.2,72,20,3.44,few clouds
250,Mareeba,AU,-17.0,145.4333,82.0,71,44,8.99,scattered clouds
251,Tezu,IN,27.9167,96.1667,68.27,25,0,3.8,clear sky
252,Magistralnyy,RU,56.1725,107.4458,17.04,89,89,3.67,overcast clouds
253,Kahului,US,20.8947,-156.47,82.4,57,40,25.32,scattered clouds
254,Muros,ES,42.7762,-9.0603,46.99,87,1,1.99,clear sky
255,Byron Bay,AU,-28.65,153.6167,77.0,57,0,10.36,clear sky
256,Sorong,ID,-0.8833,131.25,78.31,87,100,7.56,overcast clouds
257,Clarence Town,AU,-32.5833,151.7833,75.0,56,4,5.75,clear sky
258,Simao,CN,22.7886,100.9748,60.94,35,0,0.6,clear sky
259,Vestmannaeyjar,IS,63.4427,-20.2734,37.76,60,94,25.19,overcast clouds
260,Uray,RU,60.1247,64.7758,15.62,94,63,7.43,broken clouds
261,Buchanan,LR,5.8808,-10.0467,78.8,94,75,5.41,broken clouds
262,San Patricio,US,28.017,-97.5169,87.8,65,75,21.85,broken clouds
263,Atascadero,US,35.4894,-120.6707,78.8,18,1,4.61,clear sky
264,La Palma,US,33.8464,-118.0467,82.4,13,1,12.66,clear sky
265,Faanui,PF,-16.4833,-151.75,82.72,73,37,21.21,scattered clouds
266,Okha,RU,53.5739,142.9478,24.06,76,12,12.8,few clouds
267,Cairns,AU,-16.9167,145.7667,82.0,89,30,8.05,scattered clouds
268,Zheleznodorozhnyy,RU,55.7503,38.0042,36.0,86,0,4.47,clear sky
269,Tocopilla,CL,-22.092,-70.1979,67.66,75,10,4.27,clear sky
270,Morgan City,US,29.6994,-91.2068,78.01,94,90,16.11,overcast clouds
271,Novobirilyussy,RU,56.9514,90.6661,27.55,97,100,4.61,light snow
272,Paragominas,BR,-2.9667,-47.4833,71.02,96,95,3.02,light rain
273,Chifeng,CN,42.2683,118.9636,43.41,37,57,21.16,broken clouds
274,Wanaka,NZ,-44.7,169.15,67.53,62,88,6.93,overcast clouds
275,Khani,GE,41.9563,42.9566,41.0,93,90,8.05,overcast clouds
276,Ayan,RU,56.45,138.1667,16.88,83,99,1.86,overcast clouds
277,Kashan,IR,33.9831,51.4364,55.22,21,0,8.7,clear sky
278,San Benito,US,36.6166,-121.0844,75.0,25,0,4.9,clear sky
279,Valdemarpils,LV,57.3707,22.5919,41.0,93,75,14.97,broken clouds
280,Eten,PE,-6.9081,-79.8642,77.0,61,0,19.57,clear sky
281,Staunton,US,38.1496,-79.0717,57.99,82,1,5.75,clear sky
282,Chimoio,MZ,-19.1164,33.4833,71.6,100,40,4.61,scattered clouds
283,Dikson,RU,73.5069,80.5464,-21.44,100,98,8.12,overcast clouds
284,Lodja,CD,-3.4833,23.4333,70.95,86,90,2.08,overcast clouds
285,Takaka,NZ,-40.85,172.8,66.0,86,100,15.01,overcast clouds
286,Oranjemund,NA,-28.55,16.4333,59.05,86,13,10.76,few clouds
287,Itoman,JP,26.1247,127.6694,75.2,88,75,17.27,broken clouds
288,Porteirinha,BR,-15.7433,-43.0283,72.79,44,3,6.15,clear sky
289,Port Elizabeth,ZA,-33.918,25.5701,62.6,72,0,16.11,light rain
290,Nema,RU,57.5067,50.5011,19.26,93,74,6.67,broken clouds
291,Denpasar,ID,-8.65,115.2167,80.6,94,20,3.44,few clouds
292,Zabaykalsk,RU,49.6333,117.3167,34.59,74,52,22.01,broken clouds
293,Kochubey,RU,44.3861,46.5825,44.38,72,99,13.33,overcast clouds
294,Prata,BR,-19.3072,-48.9242,76.1,54,44,3.29,scattered clouds
295,Port Hedland,AU,-20.3167,118.5667,82.4,78,40,8.05,scattered clouds
296,Palmaner,IN,13.2,78.75,67.84,70,67,1.34,broken clouds
297,Xichang,CN,27.8964,102.2634,55.51,65,1,0.58,clear sky
298,Fria,GN,10.4167,-13.5833,70.21,93,15,2.3,few clouds
299,Torbay,CA,47.6666,-52.7314,27.0,93,90,26.46,light snow
300,Novo Selo,MK,41.4139,22.8811,39.99,82,76,2.59,broken clouds
301,Hualmay,PE,-11.0964,-77.6139,70.38,81,22,6.51,few clouds
302,Omsukchan,RU,62.5333,155.8,4.32,74,45,2.84,scattered clouds
303,Dakar,SN,14.6937,-17.4441,66.2,94,4,16.11,clear sky
304,Hithadhoo,MV,-0.6,73.0833,83.28,74,100,15.14,moderate rain
305,Mehran,IR,33.1222,46.1646,33.8,55,0,9.84,clear sky
306,Pangnirtung,CA,66.1451,-65.7125,-6.52,83,94,2.71,overcast clouds
307,Cockburn Town,TC,21.4612,-71.1419,77.0,73,40,13.8,scattered clouds
308,Nizhneudinsk,RU,54.9076,99.0276,22.39,85,86,3.02,overcast clouds
309,Ako,JP,34.75,134.4,53.6,94,75,6.91,broken clouds
310,Mantua,IT,45.1667,10.7833,48.99,87,75,4.61,broken clouds
311,Kamojima,JP,34.0667,134.35,62.6,82,75,17.27,heavy intensity rain
312,Dubrovnik,HR,42.6481,18.0922,50.0,62,0,10.36,clear sky
313,Kavaratti,IN,10.5669,72.642,82.42,78,100,3.62,overcast clouds
314,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,78,0,4.61,clear sky
315,Hobyo,SO,5.3505,48.5268,79.83,78,16,14.38,few clouds
316,Hamilton,US,39.1834,-84.5333,73.4,43,40,11.5,scattered clouds
