City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-03-26 04:37:07,-46.1927,168.8643,63.0,79,100,8.99
1,Bredasdorp,ZA,2021-03-26 04:37:07,-34.5322,20.0403,60.8,94,76,5.75
2,Pisco,PE,2021-03-26 04:37:07,-13.7,-76.2167,68.0,77,0,6.91
3,Avarua,CK,2021-03-26 04:37:08,-21.2078,-159.775,82.4,74,20,18.41
4,Albox,ES,2021-03-26 04:37:08,37.3886,-2.1495,50.0,76,72,4.0
5,Ponta Do Sol,PT,2021-03-26 04:37:08,32.6667,-17.1,66.99,72,40,14.97
6,Kholtoson,RU,2021-03-26 04:37:09,50.2981,103.3097,39.04,45,70,5.26
7,Dicabisagan,PH,2021-03-26 04:37:09,17.0818,122.4157,83.28,67,17,5.46
8,Kodiak,US,2021-03-26 04:32:13,57.79,-152.4072,41.0,48,20,14.97
9,Klaksvik,FO,2021-03-26 04:37:10,62.2266,-6.589,39.2,81,40,13.8
10,Anloga,GH,2021-03-26 04:37:10,5.7947,0.8973,77.0,88,20,2.3
11,Lavrentiya,RU,2021-03-26 04:37:11,65.5833,-171.0,-1.14,97,79,3.51
12,Cabo San Lucas,MX,2021-03-26 04:33:38,22.8909,-109.9124,64.0,82,1,11.5
13,Praia Da Vitoria,PT,2021-03-26 04:37:11,38.7333,-27.0667,57.2,62,75,10.98
14,Walvis Bay,NA,2021-03-26 04:33:27,-22.9575,14.5053,63.0,94,32,2.3
15,Alice Springs,AU,2021-03-26 04:37:12,-23.7,133.8833,89.6,22,3,5.75
16,Tutoia,BR,2021-03-26 04:37:12,-2.7619,-42.2744,74.73,90,100,2.98
17,Busselton,AU,2021-03-26 04:37:12,-33.65,115.3333,73.0,52,15,4.0
18,Nikolskoye,RU,2021-03-26 04:37:12,59.7035,30.7861,35.01,93,75,2.24
19,Quatre Cocos,MU,2021-03-26 04:37:13,-20.2078,57.7625,79.0,94,40,6.91
20,Port Alfred,ZA,2021-03-26 04:37:13,-33.5906,26.891,67.98,83,23,17.18
21,Ribeira Grande,PT,2021-03-26 04:37:13,38.5167,-28.7,57.27,63,80,13.24
22,Eureka,US,2021-03-26 04:35:21,40.8021,-124.1637,48.0,78,22,5.99
23,Kingsland,US,2021-03-26 04:37:14,30.8,-81.6898,72.0,1,85,1.99
24,Moose Factory,CA,2021-03-26 04:37:14,51.2585,-80.6094,6.8,85,1,5.75
25,Narsaq,GL,2021-03-26 04:37:15,60.9167,-46.05,5.0,33,33,11.5
26,Pangnirtung,CA,2021-03-26 04:37:15,66.1451,-65.7125,-29.88,78,7,5.32
27,San Vicente,AR,2021-03-26 04:37:15,-26.6167,-54.1333,66.09,88,14,2.89
28,Dikson,RU,2021-03-26 04:33:07,73.5069,80.5464,11.41,91,98,4.34
29,La Ronge,CA,2021-03-26 04:37:16,55.1001,-105.2842,19.4,86,100,8.05
30,Hobart,AU,2021-03-26 04:37:16,-42.8794,147.3294,72.0,35,0,11.5
31,Oranjestad,AW,2021-03-26 04:33:40,12.524,-70.027,78.8,78,40,19.57
32,Dolinsk,RU,2021-03-26 04:37:17,47.35,142.8,35.6,55,6,17.9
33,Ushuaia,AR,2021-03-26 04:37:17,-54.8,-68.3,41.0,87,90,14.97
34,East London,ZA,2021-03-26 04:37:17,-33.0153,27.9116,64.4,94,20,4.61
35,Jamestown,US,2021-03-26 04:35:57,42.097,-79.2353,59.0,94,90,11.07
36,Dingle,PH,2021-03-26 04:37:18,10.9995,122.6711,87.42,60,93,14.2
37,Tuktoyaktuk,CA,2021-03-26 04:37:18,69.4541,-133.0374,3.2,85,90,4.61
38,Comodoro Rivadavia,AR,2021-03-26 04:37:18,-45.8667,-67.5,60.8,23,0,13.8
39,Codrington,AU,2021-03-26 04:37:19,-38.2667,141.9667,69.3,43,99,12.93
40,Sinnamary,GF,2021-03-26 04:37:19,5.3833,-52.95,75.88,87,44,10.13
41,Gobabis,NA,2021-03-26 04:37:19,-22.45,18.9667,64.18,72,50,5.93
42,New Norfolk,AU,2021-03-26 04:37:20,-42.7826,147.0587,72.0,47,92,5.01
43,Annau,TM,2021-03-26 04:37:20,37.8876,58.516,62.6,67,75,13.8
44,Vila Velha,BR,2021-03-26 04:37:20,-20.3297,-40.2925,73.4,94,0,4.61
45,Vaini,TO,2021-03-26 04:37:21,-21.2,-175.2,80.6,83,75,12.66
46,Kenai,US,2021-03-26 04:37:21,60.5544,-151.2583,30.2,80,20,3.42
47,Preobrazheniye,RU,2021-03-26 04:37:21,42.9019,133.9064,39.51,83,50,8.72
48,Saldanha,ZA,2021-03-26 04:37:22,-33.0117,17.9442,62.6,88,75,9.22
49,Torbay,CA,2021-03-26 04:35:28,47.6666,-52.7314,44.01,100,90,11.5
50,Mehamn,NO,2021-03-26 04:37:22,71.0357,27.8492,26.6,68,0,14.97
51,Chokurdakh,RU,2021-03-26 04:37:22,70.6333,147.9167,-13.0,92,84,4.7
52,Tiksi,RU,2021-03-26 04:37:23,71.6872,128.8694,12.2,79,100,13.91
53,Vila Franca Do Campo,PT,2021-03-26 04:37:23,37.7167,-25.4333,55.4,71,20,8.05
54,Punta Arenas,CL,2021-03-26 04:37:23,-53.15,-70.9167,46.4,61,0,34.52
55,Rikitea,PF,2021-03-26 04:37:24,-23.1203,-134.9692,80.15,72,100,20.04
56,Berdigestyakh,RU,2021-03-26 04:33:09,62.0989,126.6992,18.91,86,100,10.16
57,Pacific Grove,US,2021-03-26 04:33:21,36.6177,-121.9166,50.0,86,29,7.0
58,Iqaluit,CA,2021-03-26 04:37:24,63.7506,-68.5145,-25.6,62,1,16.11
59,Vrangel,RU,2021-03-26 04:37:25,42.7297,133.0839,38.7,84,18,6.58
60,Geraldton,AU,2021-03-26 04:37:25,-28.7667,114.6,80.6,39,6,14.97
61,Hermanus,ZA,2021-03-26 04:37:25,-34.4187,19.2345,62.01,93,76,9.19
62,Qaanaaq,GL,2021-03-26 04:37:26,77.484,-69.3632,-19.98,53,41,9.24
63,Norman Wells,CA,2021-03-26 04:37:26,65.282,-126.8329,17.6,49,75,4.61
64,Nome,US,2021-03-26 04:37:26,64.5011,-165.4064,10.4,72,1,5.75
65,Kapaa,US,2021-03-26 04:37:27,22.0752,-159.319,69.8,94,90,9.22
66,Ko Samui,TH,2021-03-26 04:34:02,9.5357,99.9357,87.8,66,20,11.5
67,Kahului,US,2021-03-26 04:37:27,20.8947,-156.47,78.8,69,40,5.75
68,Matara,LK,2021-03-26 04:37:28,5.9485,80.5353,87.46,63,82,13.24
69,Pozo Colorado,PY,2021-03-26 04:37:28,-23.4923,-58.7972,77.14,52,0,5.39
70,Adrar,MR,2021-03-26 04:37:28,20.5022,-10.0711,66.27,11,0,12.53
71,Tura,IN,2021-03-26 04:37:29,25.5198,90.2201,91.92,9,0,8.7
72,Wakefield,GB,2021-03-26 04:37:29,53.6809,-1.499,48.99,75,99,11.01
73,Grafton,US,2021-03-26 04:37:29,42.207,-71.6856,57.99,88,1,11.5
74,Havoysund,NO,2021-03-26 04:37:30,70.9963,24.6622,30.2,69,0,8.05
75,Hovd,MN,2021-03-26 04:37:30,48.0056,91.6419,52.43,25,4,22.24
76,Gamba,GA,2021-03-26 04:37:30,-2.65,10.0,72.18,94,95,5.32
77,Bluff,NZ,2021-03-26 04:37:31,-46.6,168.3333,63.0,79,100,8.99
78,Hilo,US,2021-03-26 04:37:31,19.7297,-155.09,77.0,69,75,9.22
79,Batemans Bay,AU,2021-03-26 04:37:31,-35.7167,150.1833,71.01,62,54,1.99
80,Mar Del Plata,AR,2021-03-26 04:35:51,-38.0023,-57.5575,64.99,100,90,12.66
81,Lebu,CL,2021-03-26 04:37:32,-37.6167,-73.65,51.94,87,2,11.74
82,Souillac,MU,2021-03-26 04:37:32,-20.5167,57.5167,75.2,94,40,6.91
83,Ilulissat,GL,2021-03-26 04:37:32,69.2167,-51.1,-9.4,70,90,10.36
84,Severo-Kurilsk,RU,2021-03-26 04:37:33,50.6789,156.125,29.84,73,100,7.92
85,Cape Town,ZA,2021-03-26 04:34:01,-33.9258,18.4232,66.2,77,40,13.8
86,Vangaindrano,MG,2021-03-26 04:37:33,-23.35,47.6,75.27,82,94,1.77
87,Sioux Lookout,CA,2021-03-26 04:37:34,50.1001,-91.917,24.8,68,1,8.05
88,Hamilton,US,2021-03-26 04:33:12,39.1834,-84.5333,64.99,82,90,19.57
89,Tuatapere,NZ,2021-03-26 04:37:34,-46.1333,167.6833,63.0,79,100,8.99
90,Hasaki,JP,2021-03-26 04:37:34,35.7333,140.8333,72.0,34,20,4.61
91,Umea,SE,2021-03-26 04:35:04,63.8284,20.2597,19.4,100,0,2.3
92,Trairi,BR,2021-03-26 04:33:11,-3.2778,-39.2689,73.87,91,90,4.18
93,Winslow,US,2021-03-26 04:37:35,35.0242,-110.6974,45.0,45,90,5.75
94,Hobyo,SO,2021-03-26 04:37:35,5.3505,48.5268,81.93,54,97,19.39
95,Khani,GE,2021-03-26 04:37:36,41.9563,42.9566,39.2,93,75,2.3
96,Fort Nelson,CA,2021-03-26 04:37:36,58.8053,-122.7002,24.8,54,75,4.61
97,Luderitz,NA,2021-03-26 04:37:36,-26.6481,15.1594,60.13,96,32,6.06
98,Olafsvik,IS,2021-03-26 04:37:36,64.8945,-23.7142,19.76,79,100,22.53
99,Moroni,KM,2021-03-26 04:37:37,-11.7022,43.2551,80.6,78,20,8.05
100,Ozernovskiy,RU,2021-03-26 04:37:37,51.5,156.5167,29.21,64,100,9.57
101,Bar Harbor,US,2021-03-26 04:37:37,44.3876,-68.2039,46.0,100,90,6.91
102,Saskylakh,RU,2021-03-26 04:37:38,71.9167,114.0833,3.74,91,85,2.93
103,Matamoros,MX,2021-03-26 04:36:18,25.5333,-103.25,64.99,20,0,2.98
104,Lompoc,US,2021-03-26 04:37:38,34.6391,-120.4579,51.8,66,90,8.05
105,Pemangkat,ID,2021-03-26 04:37:39,1.1667,108.9667,82.13,70,97,6.02
106,Port-Gentil,GA,2021-03-26 04:37:39,-0.7193,8.7815,79.56,75,100,2.71
107,Chuy,UY,2021-03-26 04:37:39,-33.6971,-53.4616,69.84,97,100,10.87
108,Nabire,ID,2021-03-26 04:37:40,-3.3667,135.4833,78.48,86,100,1.66
109,Orlik,RU,2021-03-26 04:37:40,52.5178,99.825,23.25,76,100,0.78
110,Caraballeda,VE,2021-03-26 04:37:40,10.6112,-66.8522,77.0,88,40,1.14
111,Srednekolymsk,RU,2021-03-26 04:37:40,67.45,153.6833,-1.14,78,100,7.74
112,Porto Walter,BR,2021-03-26 04:37:41,-8.2686,-72.7439,72.14,99,100,1.01
113,Danilovka,RU,2021-03-26 04:37:41,50.3557,44.1168,29.71,83,100,11.63
114,Portobelo,PA,2021-03-26 04:37:42,9.55,-79.65,79.0,99,68,8.01
115,Svetlogorsk,BY,2021-03-26 04:37:42,52.6333,29.7333,35.82,80,83,2.46
116,Kaitangata,NZ,2021-03-26 04:37:42,-46.2817,169.8464,64.0,82,100,4.0
117,Progreso,MX,2021-03-26 04:37:43,21.2833,-89.6667,81.0,65,1,13.8
118,Nuuk,GL,2021-03-26 04:37:43,64.1835,-51.7216,1.4,71,75,8.05
119,Atuona,PF,2021-03-26 04:37:44,-9.8,-139.0333,80.82,76,28,21.27
120,Kango,GA,2021-03-26 04:37:44,0.1943,10.0951,70.66,95,100,1.41
121,Vestmannaeyjar,IS,2021-03-26 04:37:44,63.4427,-20.2734,28.9,83,100,20.94
122,Port Said,EG,2021-03-26 04:37:45,31.2565,32.2841,53.6,87,20,9.22
